productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","Hepworth Square Hole Airbrick 215 x 65mm Red YA13R","https://dam-assets.apps.travisperkins.group/ZveaP/GPID_1000327249_IMG_00.jpeg","Hepworth Terracotta airbricks allow the free movement of air to ventilate buildings. Terracotta airbricks can complement the external finish of a property and will weather well with the surrounding brickwork.","1138412507","1,32",9.48,"ACTIVE",32,"Building Materials",8.24,"",20
"","Hepworth Square Hole Airbrick 215 x 140mm Red YA14R","https://dam-assets.apps.travisperkins.group/lZaVp/GPID_1000327250_IMG_00.jpeg","Hepworth Terracotta airbricks allow the free movement of air to ventilate buildings. Terracotta airbricks can complement the external finish of a property and will weather well with the surrounding brickwork.","3971824388","1,15",12.17,"ACTIVE",15,"Building Materials",10.58,"",20
"","Hepworth Square Hole Airbrick 215 x 215mm Red YA15R","https://dam-assets.apps.travisperkins.group/o8r5nnq/GPID_1000327253_IMG_00.jpeg","Hepworth Terracotta airbricks allow the free movement of air to ventilate buildings. Terracotta airbricks can complement the external finish of a property and will weather well with the surrounding brickwork.","1383142147","1,15",33.97,"ACTIVE",15,"Building Materials",29.54,"",20
"","Ndc Polipak Dpc 300mm x 30m","https://dam-assets.apps.travisperkins.group/xgyq4d7/GPID_1100895487_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 300mm","9336550987","1,2",16.56,"ACTIVE",2,"Building Materials",14.4,"",20
"","Ndc Polipak Dpc 600mm x 30m","https://dam-assets.apps.travisperkins.group/vne385g/GPID_1100895498_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 600mm","8140768000","1,6",33.10,"ACTIVE",6,"Building Materials",28.78,"",20
"","IKO Hyload Original Damp Proof Course 150mm x 20m","https://dam-assets.apps.travisperkins.group/xkg0640/GPID_1000198828_IMG_00.jpg","IKO Hyload Original Damp-proof Course system is a flexible polymeric sheet material, used within masonry walls to prevent passage of moisture from the ground and at all levels as cavity tray to prevent the downward movement of water.Trusted for over 40 years, Hyload Original is the UKâ€™s leading High Performance DPC","7823595407","1,1",50.88,"ACTIVE",1,"Building Materials",44.24,"",20
"","Ndc Polipak Dpc 450mm x 30m","https://dam-assets.apps.travisperkins.group/om53j0n/GPID_1100895497_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 450mm","6664118040","1,4",24.83,"ACTIVE",4,"Building Materials",21.59,"",20
"","Ndc Polipak Dpc 150mm x 30m","https://dam-assets.apps.travisperkins.group/xkgm5lz/GPID_1100895499_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 150mm","1438044896","1,7",8.28,"ACTIVE",7,"Building Materials",7.2,"",20
"","Ndc Polipak Dpc 225mm x 30m","https://dam-assets.apps.travisperkins.group/v16m03z/GPID_1100895500_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 225mm","3005656745","1,18",12.42,"ACTIVE",18,"Building Materials",10.8,"",20
"","Ndc Polipak Dpm 4m x 25m 250mu","https://dam-assets.apps.travisperkins.group/x7l141l/GPID_1100895489_IMG_00.jpg","Damplas Damp Proof Membrane, 250mu, 4m x 25m, Black","1280547472","1,10",47.94,"ACTIVE",10,"Building Materials",41.69,"",20
"","Ndc Polipak Dpm 4m x 25m 300mu","https://dam-assets.apps.travisperkins.group/xkg4246/GPID_1100897435_IMG_00.jpg","Damplas Damp Proof Membrane, 300mu, 4m x 25mm Black","5270130695","1,9",65.31,"ACTIVE",9,"Building Materials",56.79,"",20
